event,charge_mode,duration_minutes,km_driven,charge
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
1,240,306.0000051980826,0.0,42.40000348220012
0,0,6.999999753081705,2.531250099532254,0.4000003560896914
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,6.999999753081705,2.531250099532254,0.4000003560896914
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,19.99999949694877,9.531250433274176,-0.8000009409881415
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
1,360,2.0000000559704243,0.0,1.6000016531675385
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
1,360,35.00000089091947,0.0,21.499998064270912
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
